screen_name,id_str,created_at,coordinates,place,text,geo_location
StebsClutchShot,1154122881862971392,2019-07-24 20:15:12,,,"So, I survived a tornado yesterday. What did you do? #TornadoTuesday #MyLifeIsAverage https://t.co/bmnR8eHOUw",
BCBSMA,1154122777806479365,2019-07-24 20:14:47,,,"In response to recent severe storms and tornado activity on parts of Cape Cod, Blue Cross Blue Shield of Massachuse… https://t.co/ZjBAL9SmTK",
wbznewsradio,1154122752628076544,2019-07-24 20:14:41,,,"NWS says the first tornado started as a waterspout that came ashore west of Kalmus just before noon, and caused ""si… https://t.co/Kunr2AXAjF",
WGME,1154122749549469696,2019-07-24 20:14:40,,,Crazy video of a Tornado that swept through Cape Cod yesterday! A man working on a sailboat when a strong storm ble… https://t.co/NIG8g84B70,
BreakinNewz01,1154122661439705089,2019-07-24 20:14:19,,,"JUST IN: 2 tornadoes touched down on Cape Cod Tuesday, NWS confirms https://t.co/D2vdUxJMiB https://t.co/QzjOH7HcYf",
WriteSparks,1154122600425107457,2019-07-24 20:14:05,,,"Today’s air conditioning was brought to us by... @HornimanMuseum 💚 The tornado twins tore through every exhibition,… https://t.co/TRAOHoHkZl",
supersnack,1154122541176279040,2019-07-24 20:13:51,,,"@natcassidy 😕ya. hard to see how he's NOT, but that is also unfathomable given the obvious criminality. I'm lost da… https://t.co/NIw9IPpoYR",
HobbsTheGamer,1154122502496542721,2019-07-24 20:13:41,,,@Basement__Games No the aliens made the rain fall that put out the flames and a tornado that drove the British  back,
selfcaregal1,1154122496771284992,2019-07-24 20:13:40,,,"5. Another myth about surviving a tornado is that you should open the windows in your home to ""equalize the pressur… https://t.co/w62lnb3klH",
selfcaregal1,1154122493600370691,2019-07-24 20:13:39,,,"4.  You may want to hide under a bridge or overpass for shelter during a tornado, but this is a big no no. Not only… https://t.co/tneSaApwsp",
StarkStark74,1154122295742488577,2019-07-24 20:12:52,,,"33. I have lived in ""tornado alley"" most of my life, and I've never seen a tornado. I've missed a couple by about 30 minutes tho.",
ham__tornado,1154122005983064065,2019-07-24 20:11:43,,,@BeststudentGG @TriumphGamingGG Can't wait to watch!,
