screen_name,id_str,created_at,coordinates,place,text,geo_location,text_count
350,1153746183015325696,2019-07-23 19:18:20,,,The Arctic is on fire. The Arctic is on fire. The Arctic is on fire. The Arctic is on fire. The Arctic is on fire.… https://t.co/RYumUYGoJS,,26
DavidBegnaud,1153524128537829376,2019-07-23 04:35:58,,,"This clearly shows a canister being launched, in the distance, and breaking thru the back windshield of a vehicle,… https://t.co/5tabmj5oYE",,20
DavidBegnaud,1153636337377001477,2019-07-23 12:01:51,,,I just interviewed the 23 year old protester who’s car caught fire after a Puerto Rican police fired canister lande… https://t.co/2UummRp4Tl,,21
Joseybadabing,1154110892742782976,2019-07-24 19:27:33,,,@AdamSchiff Adam is concerned about lying. He told us he had evidence. Where is your evidence. Adam Schiff is a lia… https://t.co/XyqdvCOnO9,,22
555_867_5309,1154110892327313408,2019-07-24 19:27:33,,,@joeymo69 @davidtabrown You're making mountains out of mole hills guy.  Yes those are issues but a reason to fire h… https://t.co/HW2Qdy7PEr,,21
obolyeldarb,1154110888246484992,2019-07-24 19:27:32,,,@dylan_spit_fire @BoxingAsylum It's not relevant - it's another case of trying to attack the arguer instead of the… https://t.co/NGVwI5bcin,,19
Roccosmom1216,1154110885566267392,2019-07-24 19:27:32,,,@BetteMidler Who is regulating your meds? You need to fire that person,,12
SouthMetroPIO,1154110884395941888,2019-07-24 19:27:31,,,SMFR is on scene of a natural gas leak at Salford Lane and Burntwood Way in @highlands_ranch No injuries or fire oc… https://t.co/nH92VLNqJo,,23
Synergy1Radio,1154110880940003329,2019-07-24 19:27:31,,,#NP :Priscilla - Fire  Feat. Onos Ariyo #Synergy1Radio https://t.co/CRMsgJCNdY  - @Priscillasings_ #Fire #OnosAriyo,,13
frankmonah,1154110879895564289,2019-07-24 19:27:30,,,@JaySekulow @realDonaldTrump Trump ordered McGahn to fire Mueller and when he wouldn't -ordered him to publicly den… https://t.co/ELlCeGFzXR,,18
spearswills,1154110875751604225,2019-07-24 19:27:29,,,"i don't get when to use despair, flare, fire II or umbral soul on blm",,15
flowaaabombb,1154110873943859201,2019-07-24 19:27:29,,,"they have this at the w in Times Square so fire, gotta go back w my boo https://t.co/f010BTvl40",,18
ExpressandStar,1154110872068993024,2019-07-24 19:27:28,,,"This is why there's been so much smoke in Walsall town centre this evening
https://t.co/BSyijOnDTo",,15
CarrieMay24,1154110869560864775,2019-07-24 19:27:28,,,My thighs and arms are on fire!,,7
JohnMoriartyCS,1154110868637900800,2019-07-24 19:27:28,,,Fire up the grill with this healthy(ish) BBQ sauce. https://t.co/7YZzfWO8oQ,,10
camilacruzarcht,1153524123290591233,2019-07-23 04:35:57,,,"thrown by the police, a gas set this vehicle on fire.",,11
