screen_name,id_str,created_at,coordinates,place,text,geo_location,text_count
ThePlumLineGS,1153984560599842817,2019-07-24 11:05:33,,,"It's key to understand this as nothing more than rank disinformation, designed to flood the media zone so that the… https://t.co/aAYG8qEsqH",,21
Nicole_Cliffe,1153766429272899584,2019-07-23 20:38:47,,,we are starting to get a flood of questions about what the hell parents are supposed to do about their kids being o… https://t.co/0QXu2LEUGR,,24
TheOnion,1153497461886816256,2019-07-23 02:50:00,,,"""American citizens must lose their home to a flash flood, almost immediately watch a tornado ravage their hometown,… https://t.co/9TXfphyZlF",,19
Jeffhull71,1154111904081747969,2019-07-24 19:31:34,,,"@TrackersHate Depends sends out samples. let flood his mailbox.
https://t.co/DZwHQBFZfv",,10
vision_link,1154111856837091328,2019-07-24 19:31:23,,,Bristol Road Flood Protection Monitoring https://t.co/MqojrPxcun,,6
B296LX,1154111853871718401,2019-07-24 19:31:22,,,Flood Protection Monitoring on 24 Jul 2019 20:31 https://t.co/CJ0SyBHiO6,,9
SimpleWeatherFL,1154111832342302720,2019-07-24 19:31:17,,,"NWS Alert&gt; Flood Warning: Affected Locations Include Saint Augustine, Saint Augustine Beach, Saint Augustine Shores… https://t.co/dPPJhX5H8w",,16
dodgersmaga,1154111789069504512,2019-07-24 19:31:07,,,@MMFlint @MMFlint Dems have completely gone off the map. Their policies are soooo far left that they don’t have a c… https://t.co/toHg8g5TNp,,22
kxnt,1154111771667361793,2019-07-24 19:31:03,,,#BREAKING: Flash Flood Watch for Las #Vegas and Southern Nevada now in place through 11p. #nvwx #turnarounddontdrown https://t.co/SWrOHU1c9u,,18
love4nipsey,1154111760372310016,2019-07-24 19:31:00,,,@tajiibee876 Flood,,2
ScHoolboyZ___,1154111751270666240,2019-07-24 19:30:58,,,The flood Lord. Send it. https://t.co/uYOEV1QhZp,,6
annienoexcuses,1154111731964137473,2019-07-24 19:30:53,,,"Fire, Flood, Disaster…Do you know how to get out? https://t.co/WVKWZ0RUJg via @annienoexcuses What is your escape p… https://t.co/fPni8YJFog",,18
eddowzartsy,1154111721369264128,2019-07-24 19:30:51,,,Was saving a box from flood in my house. Turns out its my childhood toys ❤️ most of them are missing/damage by wate… https://t.co/32AVSaikqr,,24
PBR,1154111709201592320,2019-07-24 19:30:48,,,Everybody go flood the 2018 Rookie of the Year @Keyshawn_W’s mentions with all your birthday wishes! While you're t… https://t.co/MMv35i0MlF,,20
BCHSWxSTEM,1154111662343016450,2019-07-24 19:30:37,,,"FLOOD WARNING
                
Issued 03:20 PM EDT on July 24, 2019

View full statement at https://t.co/d6iR76pIQ8",,15
IntelBLACKPINK,1153497341925527553,2019-07-23 02:49:31,,,We advise blinks to vote also in your accounts. Your followers will understand because for sure they are blinks too… https://t.co/riwa1Mi7Vl,,21
vision_link,1153497335948877824,2019-07-23 02:49:30,,,Bristol Road Flood Protection Monitoring https://t.co/I3Vv4GPNuJ,,6
B296LX,1153497332564017152,2019-07-23 02:49:29,,,Flood Protection Monitoring on 23 Jul 2019 03:49 https://t.co/IgBDyrHlwB,,9
susiedrapes,1153497232672468992,2019-07-23 02:49:05,,,@houstonpatsy @maggieNYT @BetoORourke @ccano1971 Ahhhhh did not flood near us but was POURING crazy rain. That flooding is scary/crazy!,,19
BoostdJanna,1153497187566751744,2019-07-23 02:48:55,,,"so many gay friends flood my feed with gay

i am blessed",,12
